Guidance Document 	வழிகாட்டி ஆவணம்
Inspection of all machinery/equipment as per the safety protocols during the restart phase shall be done. Considerations include (but not limited to):	மறுதொடக்கக் கட்டத்தில் பாதுகாப்பு நெறிமுறை களின்படி அனைத்து இயந்திரங்கள் / உபகரணங்கள் ஆய்வு செய்யப்படும். இதற்கான கவனிப்பில் பின்வருவன அடங்கும் (ஆனால் இவை மட்டும் அல்ல):
- Combustible liquids, contained gaseous substances, open wires etc. that make any facility a high-risk environment.	- எரியக்கூடிய திரவங்கள், வாயு பொருட்கள், திறந்த கம்பிகள் போன்றவை எந்த ஒரு வசதியையும் அதிக ஆபத்துள்ள சூழலாக மாற்றுகின்றன.
5.1.3|	5.1.3 |
A process shall be in place defining preventive measures to prevent and contain the spread of infection, including (but not limited to):	நோய்த்தொற்று பரவுவதைத் தடுப்பதற்கும் கட்டுப் படுத்துவதற்கும் தடுப்பு நடவடிக்கைகளை வரையறுக் கும் ஒரு செயல்முறை இருக்க வேண்டும். இதில் அடங்குவன (ஆனால் இவை மட்டும் அல்ல):
- Isolation facility & sanitization protocols for suspected cases till the medical help arrives.	- மருத்துவ உதவி வரும் வரை சந்தேகிக்கப்பட்ட, பாதிக்கப்பட்ட நபர்களுக்கான தனிமை வசதி மற்றும் தூய்மைப்படுத்தல் நெறிமுறைகள்.
- Emergency numbers and Contact numbers of the nearest hospital.	- அருகிலுள்ள மருத்துவமனையின் அவசர எண்கள் மற்றும் தொடர்பு எண்கள்.
- A fully functional adequate CCTV system to ease tracking and tracing of infected personnel movement.	- பாதிக்கப்பட்ட பணியாளர்களின் இயக்கத்தைக் கண்காணிப்பதையும் கண்டுபிடிப்பதையும் எளிதாக்குவதற்கு ஒரு முழுமையான செயல்பாட்டுக்கு போதுமான சி.சி.டி.வி அமைப்பு.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
6.1|	6.1 |
Staff/Guest & Goods transport	பணியாளர்கள் / விருந்தினர் மற்றும் பொருட்கள் இடம் மாற்றம்
6.1.1|	6.1.1 |
- All vehicles shall be disinfected before the start of a trip and at the end of the trip.	- பயணத்தின் தொடக்கத்திற்கு முன்பும், பயணத்தின் முடிவிலும் அனைத்து வாகனங்களும் கிருமி நீக்கம் செய்யப்படும்.
- Guest/Staff transport vehicles shall be equipped to ensure and maintain social distancing norms.	- சமூகத் தொலைவு விதிமுறைகளை உறுதிப்படுத்த வும் பராமரிக்கவும் விருந்தினர் / பணியாளர்கள் போக்குவரத்து வாகனங்கள் பொருத்தப்பட்டிருக்கும்.
- Sanitizers in accordance with prescribed norms or equivalent shall be provided in the vehicles, all the time.	- பரிந்துரைக்கப்பட்ட விதிமுறைகளின்படி அல்லது அதற்கு சமமான தூய்மை நீக்கிகள் எல்லா நேரங்களிலும் வாகனங்களில் வழங்கப்படும்.
6.1.2|	6.1.2 |
- Incoming material shall be collected as per FSSAI norms and quarantined at an identified location for safe retention and/or safe disposal.	- உள்வரும் பொருள் fssai விதிமுறைகளின்படி சேகரிக்கப்பட்டு, பாதுகாப்பான தக்கவைப்பு மற்றும் / அல்லது பாதுகாப்பான அகற்றலுக்காக அடையாளம் காணப்பட்ட இடத்தில் தனிமைப்படுத்தப்படும்.
- Delivery / transport vehicles shall be cleaned and disinfected at a predefined frequency. Sanitizers with prescribed norms or equivalent shall be provided in the vehicles, all the time.	- பொருள் சேர்ப்பு / போக்குவரத்து வாகனங்கள் முன் வரையறுக்கப்பட்ட காலஅளவுகளில் சுத்தம் செய்யப் பட்டு கிருமி நீக்கம் செய்யப்படும். பரிந்துரைக்கப்பட்ட விதிமுறைகள் அல்லது அதற்கு சமமான தூய்மைப் படுத்திகள் வாகனங்களில் எல்லாச் சமயங்களிலும் வழங்கப்படும்.
6.1.3|	6.1.3 |
1. Valet parking, if available, shall be operational with operating staff wearing face covers/ masks and gloves as appropriate.	1. பொருந்துமாயின், விருந்தினர்களிடமிருந்து சொந்த வாகனங்களைப்பணியாளர் நிறுத்துவர். செயற்படு ஊழியர்கள் முகத்திரைகள் / முகமூடிகள் மற்றும் கையுறைகளை பொருத்தமாக அணிந்திருப்பர்.
2. A proper disinfection of steering wheel, door handles, etc. of the vehicles should be taken up.	2. வாகனங்களின் ஸ்டீயரிங், கதவு கைப்பிடிகள் போன்றவற்றை முறையாக கிருமி நீக்கம் செய்ய வேண்டும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
7.1|	7.1 |
7.1.1|	7.1.1 |
7.1.2|	7.1.2 |
2. Proper queue management and disinfection shall be organized.	2. சரியான வரிசைமுறை மேலாண்மையும் கிருமி நீக்கமும் ஏற்பாடு செய்யப்படும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
Ventilation	காற்றோட்டம்
8.1|	8.1 |
8.1.1|	8.1.1 |
8.1.2|	8.1.2 |
2. A robust maintenance mechanism shall in place to ensure that the utilities and filters are working effectively.	2. பயன்படு கருவிகளும் வடிப்பான்களும் திறம்பட செயல்படுகின்றன என்பதை உறுதிப்படுத்த ஒரு வலுவான பராமரிப்பு பொறிமுறை இருக்கும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
9 |	9 |
9.1|	9.1 |
Appropriate waste disposal	பொருத்தமான கழிவுகளை அகற்றுவது
9.1.1|	9.1.1 |
9.1.2|	9.1.2 |
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
Control of Discriminatory Practices	பாரபட்சமான நடைமுறைகளின் கட்டுப்பாடு
10.1|	10.1 |
10.1.1|	10.1.1 |
